
#$Filter:none
-1532.0	0.000113845825195	-2.90298461914e-06	1511953906.7913587	
-1643.0	0.000113845825195	-2.90298461914e-06	1511953907.2915113	
-1643.0	0.000113845825195	-2.90298461914e-06	1511953907.7913716	
-1754.0	0.000113845825195	-2.90298461914e-06	1511953908.291535	
-1754.0	0.000113845825195	-2.90298461914e-06	1511953908.7913785	
-1865.0	0.000113845825195	-2.90298461914e-06	1511953909.2915545	
-1865.0	0.000116256713867	-2.91595458984e-06	1511953909.7913933	
-1865.0	0.000116256713867	-2.91595458984e-06	1511953910.291402	
-1865.0	0.000116256713867	-2.91595458984e-06	1511953910.7913864	
-1865.0	0.000116256713867	-2.91595458984e-06	1511953911.2913942	
